"id","name","lat","lon"
571,"Kaniet",-1.5178,145.086
572,"Lebei",-2.0663,146.746
573,"Leipon",-1.96891169260428,147.329406738281
574,"Levei",-2.07596,146.65375
575,"Likum",-2.43060571171546,147.416152188836
576,"Loniu",-2.07321686972869,147.332153320312
577,"Lou",-2.39432235753508,147.354125976562
578,"Lup",-1.5289,145.075
579,"Mbunai",-2.1817,146.888
580,"Mokaren",-2.016,147.423
581,"Nauna",-2.21319453229342,148.200073242188
582,"Ninigo",-1.5297,145.074
583,"Njada",-2.1143,146.627
584,"Nyindrou",-2.1143,146.627
585,"Pak",-2.0527,147.767
586,"Papitalai",-2.0622,147.417
587,"Pitilu",-1.9665,147.226
588,"Ponam",-1.917,146.887
589,"Seimat",-1.38963424765552,144.574584960938
590,"Sivisa Titan",-2.18168,146.88795
591,"Sori",-1.9838,146.642
592,"Tulu",-2.1416,146.934
593,"Wuvulu",-1.60379443005897,142.97607421875
594,"Aneityum",-20.1864,169.825
595,"Anejom (Aneityum)",-20.1900350958226,169.82666015625
596,"Dehu",-20.9819567428323,167.2119140625
597,"Enfitena",-19.5795,169.356
598,"Fijian (Bau)",-17.8114560885645,177.978515625
599,"Fijian (Suva Dialect)",-16.55711,179.24208
600,"Iaai",-20.65335,166.56647
